time,tem,hum,pre,rad,ConfirmedCases,Diff,Res,SPred
2010-01-01,18.83534946,70.54435484,0.001747312,151.5833333,13,,13.0,
2010-02-01,22.71354167,60.02529762,0.017559524,165.2053571,16,3.0,3.0102810473714374,
2010-03-01,28.1516129,61.13575269,0.067876344,198.9395161,39,23.0,23.010987978216374,
2010-04-01,30.15916667,71.50833333,0.146944444,169.1125,53,14.0,14.042932550617223,
2010-05-01,28.72271505,82.88172043,0.387231183,107.6330645,77,24.0,24.048142269765137,
2010-06-01,28.66305556,86.41805556,0.993333333,71.45555556,66,-11.0,-10.933088057148197,
2010-07-01,28.40174731,84.38306452,0.294086022,95.09946237,104,38.0,38.02281329247418,
2010-08-01,28.52405914,83.73252688,0.293145161,97.78091398,103,-1.0,-0.9272991259796441,
2010-09-01,27.72194444,85.94444444,0.315416667,84.95,64,-39.0,-38.95925171738293,
2010-10-01,26.8938172,83.30645161,0.214919355,114.5725806,19,-45.0,-45.04011647399422,
2010-11-01,23.9425,74.55555556,0.005833333,119.275,4,-15.0,-15.101120985724307,
2010-12-01,19.33790323,71.24462366,0.059677419,119.1384409,0,-4.0,-4.0944765265524286,
2011-01-01,17.70053763,69.28091398,0.00094086,150.375,0,0.0,-6.545909881470943,
2011-02-01,21.95133929,59.4047619,0.001190476,168.5089286,0,0.0,-3.0689603221946293,
2011-03-01,26.01680108,63.31989247,0.097983871,177.7473118,1,1.0,-22.5756072157253,
2011-04-01,27.14736111,76.77361111,0.161111111,176.3138889,1,0.0,-19.457892674158067,
2011-05-01,27.79959677,84.34005376,0.602822581,98.60349462,12,11.0,-21.07896083851643,
2011-06-01,27.82888889,87.57361111,0.6,76.5625,71,59.0,59.45857851337609,
2011-07-01,28.00080645,84.83467742,0.371102151,89.19489247,156,85.0,57.26375592858932,
2011-08-01,27.26841398,87.88172043,0.622983871,63.98790323,134,-22.0,1.5446439078476146,
2011-09-01,27.58597222,85.41111111,0.348611111,98.30138889,57,-77.0,-23.978982633520616,
2011-10-01,27.13212366,79.37768817,0.051075269,135.9623656,29,-28.0,18.350504192286323,
2011-11-01,22.90138889,70.79305556,0.001805556,136.4916667,4,-25.0,-3.785146873532131,
2011-12-01,19.83709677,72.63844086,0.000134409,117.6908602,0,-4.0,2.4584374646882328,
2012-01-01,18.10067204,72.24865591,0.028494624,110.4959677,5,5.0,6.813243653906269,
2012-02-01,21.54454023,57.71695402,0.003304598,178.4066092,13,8.0,9.8638894660727,
2012-03-01,26.27271505,57.58736559,0.021370968,204.4771505,94,81.0,76.24772870349861,
2012-04-01,27.39083333,79.27083333,0.379583333,153.5388889,98,4.0,24.4685131442547,
2012-05-01,29.67419355,76.95967742,0.146236559,166.8387097,45,-53.0,-45.69943924609291,
2012-06-01,29.62597222,82.04027778,0.297916667,100.475,16,-29.0,-61.06859689197117,
2012-07-01,27.95887097,84.82258065,0.339112903,83.32123656,40,24.0,-62.28147250222028,
2012-08-01,27.86505376,85.00403226,0.333333333,92.40591398,67,27.0,8.828995263578946,
2012-09-01,27.57680556,86.31805556,0.383194444,87.33333333,120,53.0,98.5044988967465,
2012-10-01,25.70873656,80.8938172,0.182795699,125.8615591,82,-38.0,18.280840175336238,
2012-11-01,21.68777778,75.56944444,0.108333333,113.9472222,25,-57.0,-17.00749927796616,
2012-12-01,18.51948925,76.1922043,0.005645161,125.1841398,8,-17.0,-7.597436506553146,
2013-01-01,17.33615591,70.29973118,0.0,141.8803763,1,-7.0,-10.211969925018074,
2013-02-01,21.26428571,62.93452381,0.016815476,163.5818452,10,9.0,1.7930986439646812,
2013-03-01,26.61330645,57.84408602,0.001747312,200.1787634,24,14.0,-34.06816919938443,
2013-04-01,28.26263889,69.74166667,0.127361111,173.3638889,44,20.0,2.1367242343006723,
2013-05-01,26.8,87.06182796,0.63844086,71.07258065,93,49.0,59.17583961746543,
2013-06-01,28.55805556,83.42916667,0.255833333,115.8180556,208,115.0,136.71695759628165,
2013-07-01,27.99422043,83.68682796,0.178897849,90.75806452,52,-156.0,-141.18431993128314,
2013-08-01,27.43508065,85.96774194,0.356854839,76.83602151,5,-47.0,-69.5601392985626,
2013-09-01,27.62902778,86.03611111,0.272638889,93.41527778,19,14.0,-16.94918243690816,
2013-10-01,25.85013441,85.10349462,0.235752688,88.58602151,36,17.0,29.743756973951406,
2013-11-01,21.70166667,73.55416667,0.001388889,151.1277778,33,-3.0,29.064737481127217,
2013-12-01,19.39045699,72.41263441,0.000806452,123.6129032,17,-16.0,0.49331436847163346,
2014-01-01,18.17123656,73.62231183,0.0,136.9798387,15,-2.0,3.7229984321730534,
2014-02-01,19.9327381,69.62946429,0.091964286,159.0639881,5,-10.0,-12.060064762960504,
2014-03-01,24.73400538,61.89650538,0.018682796,192.7298387,21,16.0,-9.514354872991227,
2014-04-01,29.46402778,62.91388889,0.05875,207.2944444,16,-5.0,-21.60027492747185,
2014-05-01,29.58266129,75.37365591,0.241935484,160.1370968,33,17.0,-13.288106918547008,
2014-06-01,28.75027778,84.70833333,0.530277778,83.49027778,290,257.0,193.21480716815432,
2014-07-01,28.36397849,83.71370968,0.221908602,89.17069892,95,-195.0,-98.18095467066524,
2014-08-01,27.81048387,86.1827957,0.462903226,76.05913978,78,-17.0,5.847863586164777,
2014-09-01,27.71180556,84.08194444,0.219305556,111.225,27,-51.0,-37.44102077522682,
2014-10-01,26.27701613,79.88978495,0.067876344,129.6438172,6,-21.0,-17.58555188561692,
2014-11-01,23.20597222,71.23194444,0.002638889,135.975,1,-5.0,0.2593643757710762,
2014-12-01,19.54811828,76.16532258,0.004301075,104.3413978,0,-1.0,1.906323998277605,
2015-01-01,18.7422043,75.59677419,0.030107527,120.6532258,0,0.0,-3.857131282577747,
2015-02-01,21.52470238,69.57142857,0.029910714,153.7693452,9,9.0,6.17536276639372,
2015-03-01,25.38696237,61.52284946,0.050672043,187.9314516,28,19.0,-6.773522569087483,
2015-04-01,26.17347222,82.78333333,0.400694444,122.3944444,41,13.0,6.859124948865457,
2015-05-01,28.70443548,82.92473118,0.294354839,125.1451613,110,69.0,60.487048524098334,
2015-06-01,28.44944444,83.71388889,0.478888889,94.49305556,176,66.0,-24.857717653380234,
2015-07-01,27.31155914,88.2311828,0.71061828,55.39784946,127,-49.0,23.38439948030917,
2015-08-01,27.88844086,86.02419355,0.466263441,74.22715054,121,-6.0,15.774056055890554,
2015-09-01,28.26666667,84.00694444,0.282916667,102.6805556,43,-78.0,-38.0812267242019,
2015-10-01,26.24314516,80.91263441,0.110483871,125.4919355,22,-21.0,-2.1910916378952194,
2015-11-01,23.60638889,72.96666667,0.005833333,124.7333333,28,6.0,19.558576900230424,
2015-12-01,19.81008065,72.43145161,0.002822581,104.4905914,14,-14.0,-3.943597265866508,
2016-01-01,18.41384409,71.81048387,0.008602151,121.8951613,23,9.0,9.851436217488004,
2016-02-01,22.90617816,70.42816092,0.043103448,147.4281609,38,15.0,14.086611622289851,
2016-03-01,26.53373656,66.40322581,0.128360215,160.1572581,46,8.0,-9.067595159723261,
2016-04-01,28.87930556,78.91805556,0.272777778,168.7486111,137,91.0,82.7070841512111,
2016-05-01,27.83467742,83.625,0.569892473,120.6787634,327,190.0,189.3942793379233,
2016-06-01,28.52902778,83.59027778,0.290833333,109.6875,150,-177.0,-156.01600447275314,
2016-07-01,27.72163978,87.12634409,0.431854839,67.46102151,88,-62.0,-28.61546951923978,
2016-08-01,28.3233871,83.36021505,0.306451613,104.3400538,58,-30.0,-32.69560463162904,
2016-09-01,27.97305556,85.37916667,0.317083333,87.7625,17,-41.0,-21.391339588679728,
2016-10-01,26.75994624,83.26075269,0.144758065,110.0026882,15,-2.0,0.9596080663869095,
2016-11-01,23.09430556,76.3875,0.037916667,118.0236111,4,-11.0,-10.990752734085284,
2016-12-01,20.84489247,74.95698925,0.000268817,116.2741935,4,0.0,-0.98528415865092,
2017-01-01,19.04045699,69.68010753,0.0,144.8467742,4,0.0,-10.691534390109513,
2017-02-01,22.440625,61.81547619,0.003571429,168.171131,6,2.0,-12.702397437340895,
2017-03-01,24.06666667,72.98387097,0.114112903,143.3629032,6,0.0,-29.603288691541827,
2017-04-01,26.98847222,81.30277778,0.480833333,137.0611111,25,19.0,-32.13507523824043,
2017-05-01,28.40134409,83.18010753,0.372715054,125.577957,235,210.0,115.18550263346575,
2017-06-01,28.24805556,86.35555556,0.648611111,89.01666667,276,41.0,76.25341697357135,
2017-07-01,27.66653226,87.24193548,0.540994624,66.2311828,388,112.0,204.77446799880536,
2017-08-01,28.19892473,85.54569892,0.370295699,82.80241935,106,-282.0,-163.7889362328878,
2017-09-01,28.00986111,86.57083333,0.465833333,79.71388889,91,-15.0,18.89211588316965,
2017-10-01,26.42607527,84.01344086,0.346908602,113.0537634,50,-41.0,-16.466604139113386,
2017-11-01,22.99277778,75.13888889,0.013055556,130.9138889,1,-49.0,-34.89145848713097,
2017-12-01,20.0952957,80.05510753,0.101478495,108.2674731,3,2.0,-6.129151398950011,
2018-01-01,17.49798387,72.83736559,0.000537634,132.4932796,1,-2.0,-13.900705800511956,
2018-02-01,22.2141369,66.25,0.004761905,154.358631,1,0.0,-14.743435627939961,
2018-03-01,26.21586022,64.57526882,0.077150538,186.2446237,0,-1.0,-29.75891528697811,
2018-04-01,26.62180556,81.29583333,0.310277778,145.0305556,1,1.0,-33.62677240084538,
2018-05-01,26.8797043,85.78494624,0.555241935,94.45430108,4,3.0,-109.83942994887134,
2018-06-01,28.75833333,84.90972222,0.449166667,103.2319444,60,56.0,-45.89288534061012,
2018-07-01,28.23857527,84.97849462,0.394354839,86.30376344,357,297.0,241.4171265497053,
2018-08-01,28.49395161,83.0483871,0.174462366,97.67876344,120,-237.0,-83.35373596761724,
2018-09-01,28.43208333,82.72916667,0.20625,118.025,60,-60.0,-29.32429625116349,
2018-10-01,25.80268817,79.20295699,0.100268817,128.3172043,24,-36.0,-16.51551753981549,
2018-11-01,23.40611111,70.91527778,0.00125,136.7763889,23,-1.0,13.929923467406475,
2018-12-01,19.23548387,70.46639785,0.044489247,112.1451613,27,4.0,7.10811838776576,
2019-01-01,18.94502688,66.7688172,0.000134409,146.1344086,25,-2.0,-1.24461439718063,
2019-02-01,21.46651786,64.85119048,0.062797619,151.391369,39,14.0,11.240819528908695,
2019-03-01,24.92043011,65.38172043,0.061827957,170.0887097,72,33.0,22.656603118029736,
2019-04-01,26.88944444,80.27083333,0.197222222,142.9930556,287,215.0,211.4444153669179,
2019-05-01,29.44946237,80.84139785,0.359677419,134.8938172,456,169.0,212.06096280746158,
2019-06-01,28.88569444,84.44444444,0.494166667,104.9722222,472,16.0,102.44169354717485,
2019-07-01,28.66908602,84.68010753,0.383602151,86.46370968,295,-177.0,-126.87797480286122,
2019-08-01,28.69018817,83.56586022,0.357392473,103.1572581,54,-241.0,-123.22733295226226,
2019-09-01,27.93680556,84.60555556,0.25375,88.37222222,34,-20.0,-11.652763190646489,
2019-10-01,26.19354839,84.23521505,0.232526882,105.7647849,23,-11.0,-8.274125019192567,
2019-11-01,23.61013889,80.90277778,0.099027778,109.9513889,8,-15.0,-19.603040112961637,
2019-12-01,18.98145161,76.50806452,0.008467742,112.9301075,17,9.0,-5.751895400929985,
2020-01-01,17.99045699,76.93951613,0.011021505,112.3467742,12,-5.0,-19.17506429475163,
2020-02-01,20.4158046,64.35344828,0.005172414,150.6982759,50,38.0,16.2499485662864,
2020-03-01,24.9719086,63.26209677,0.046236559,179.9811828,37,-13.0,-39.076339312531815,
2020-04-01,27.09347222,74.35555556,0.366666667,148.2777778,0,-37.0,-128.05291434639122,
2020-05-01,27.69314516,83.20967742,0.430107527,110.9543011,0,0.0,-149.3708680892496,
2020-06-01,28.24319444,86.56527778,0.39875,86.56388889,1,1.0,-121.93408820340692,
2020-07-01,28.36989247,86.11021505,0.466397849,80.10215054,0,-1.0,-46.898862794223376,
2020-08-01,28.41438172,84.94354839,0.296102151,90.4422043,45,45.0,78.94216530681743,
2020-09-01,28.43819444,85.15555556,0.332916667,94.78472222,135,90.0,99.1142578689165,
2020-10-01,27.64448925,84.62768817,0.214919355,109.5645161,26,-109.0,-63.735118471207215,
2020-11-01,22.95166667,74.49027778,0.007916667,136.6902778,1,-25.0,-15.56630917442876,
2020-12-01,19.33763441,73.34677419,0.00094086,124.9327957,0,-1.0,-10.490942009685918,
2021-01-01,18.71357527,71.02822581,0.002822581,134.2889785,1,1.0,-8.88303914876583,
2021-02-01,21.5171131,62.4702381,0.001190476,169.9821429,0,-1.0,-24.37417345336875,
2021-03-01,26.88870968,61.39784946,0.016666667,199.3293011,2,2.0,-22.628175361475297,
2021-04-01,29.50597222,63.86527778,0.025972222,204.9611111,17,15.0,-11.413791533781087,
2021-05-01,28.31129032,80.84946237,0.449865591,129.1075269,63,46.0,-13.337088949729562,
2021-06-01,27.63930556,88.17222222,0.539166667,67.77083333,87,24.0,-18.753838344491612,
2021-07-01,28.30524194,85.20295699,0.334677419,83.42473118,28,-59.0,-77.36678295393374,
2021-08-01,28.04408602,86.77419355,0.394623656,78.17741935,26,-2.0,2.6550853057729498,
2021-09-01,28.11166667,84.36388889,0.234027778,108.9194444,168,142.0,117.80597347284112,
2021-10-01,27.17741935,82.09811828,0.175403226,114.2930108,139,-29.0,48.507462440694596,
2021-11-01,22.25736111,74.24444444,0.014305556,130.3555556,22,-117.0,-61.41882602182375,
2021-12-01,19.2655914,76.54973118,0.142607527,106.9650538,2,-20.0,-17.277071029581553,
2022-01-01,18.08924731,75.28360215,0.019623656,112.8091398,0,-2.0,-9.544904366073887,
2022-02-01,18.915625,72.19940476,0.072470238,148.0193452,0,0.0,-12.015629515675705,
2022-03-01,26.42782258,62.97177419,0.011693548,195.7271505,0,0.0,-23.06438614190929,
2022-04-01,28.78222222,76.45555556,0.209027778,139.5986111,0,0.0,-44.22768313729744,
2022-05-01,28.11115591,82.48924731,0.30577957,118.0282258,2,2.0,-84.01415397419596,
2022-06-01,28.36833333,85.51527778,0.430277778,83.82777778,99,97.0,17.4792544701898,
2022-07-01,28.81733871,81.76478495,0.205241935,115.6639785,269,170.0,,97.71456129422542
2022-08-01,28.74556452,81.23252688,0.208198925,109.9086022,66,-203.0,,52.051652135887714
2022-09-01,28.04597222,85.7,0.440694444,95.37222222,1,-65.0,,79.74396424550912
2022-10-01,26.36384409,81.40725806,0.220295699,119.3104839,1,0.0,,57.74516797260054
2022-11-01,22.88208333,72.59861111,0.000138889,136.6486111,2,1.0,,16.138349737142548
2022-12-01,20.16303763,72.19489247,0.001612903,127.0403226,2,0.0,,9.959184160640358
2023-01-01,18.90134409,72.29166667,0.000403226,139.6021505,6,4.0,,10.626857201391324
2023-02-01,22.18839286,64.55208333,0.003571429,160.8973214,9,3.0,,17.136299555958832
2023-03-01,25.0297043,69.84946237,0.167204301,159.2647849,14,5.0,,29.17771450196139
2023-04-01,28.53097222,67.02777778,0.055972222,199.6708333,25,11.0,,50.502959530811715
2023-05-01,28.87876344,74.44489247,0.343010753,158.1075269,45,20.0,,95.71632072709403
2023-06-01,29.68013889,82.05138889,0.316388889,109.9152778,104,59.0,,146.74682432499196
